movieid;country;addition;time
1773358;N;N;139
1773358;Argentina;N;119
1773436;N;N;82
1773944;N;N;88
1774349;N;N;89
1775245;N;N;87
1775382;N;N;75
1775747;N;N;106
1775854;N;N;85
1776052;N;N;120
1776052;Germany;(cut version);110
1776063;N;N;117
1776173;N;N;100
1776338;N;N;93
1776407;N;N;112
1776556;N;N;93
1776732;N;N;107
1776893;N;N;95
1777297;N;N;106
1777374;N;N;103
1777932;N;N;92
1778025;N;N;67
1778025;USA;(edited version);58
1778258;N;(director's cut);96
1778258;N;N;99
1778411;N;N;101
1778413;N;N;103
1778413;Argentina;N;108
1778413;USA;N;106
1778514;N;(TCM print);94
1778514;N;N;98
1778536;N;N;87
1778697;N;N;92
1778699;N;N;90
1778699;Germany;(cut version);71
1779176;N;N;121
1779201;N;N;111
1779349;N;N;108
1779361;N;N;114
1779474;N;N;102
1779528;N;N;90
1779735;N;N;101
1779757;N;N;93
1779835;N;N;120
1779868;N;N;83
1779914;N;(DVD);70
1779914;N;(copyright length);72
1780022;N;N;123
1780595;N;N;102
1780992;N;N;106
1780992;Argentina;(Mar del Plata Film Festival);106
1780992;Germany;(cut version);103
1781241;N;N;113
1781241;Argentina;N;113
1781274;N;N;88
1781295;N;N;106
1781295;USA;(R-rated version);103
1781295;USA;(unrated version);106
1781303;N;N;87
1781518;N;N;110
1781597;N;N;120
1781603;N;N;73
1783029;N;N;112
1783282;N;N;155
1783500;N;N;117
1783641;Australia;N;95
1783641;Germany;N;93
1783641;Japan;N;95
1783685;N;N;79
1783892;N;N;87
1783892;Germany;(cut version);72
1784129;N;N;105
1784206;N;N;97
1784206;Germany;N;85
1784206;USA;N;95
1784275;N;N;103
1784416;N;N;88
1784877;N;N;91
1784877;Argentina;N;95
1785170;N;N;108
1785170;USA;(unrated version);109
1785251;N;N;180
1785251;N;(original cut);330
1785251;USA;(director's cut);190
1785265;N;N;147
1785265;Sweden;N;120
1785529;N;N;97
1785529;Turkey;(TV version);85
1785755;N;N;107
1786099;N;N;86
1786124;N;N;118
1786136;N;N;74
1786142;N;N;91
1786183;N;N;94
1786236;N;N;115
1786413;N;N;101
1786413;Sweden;(VHS version);88
1786413;West Germany;(cut version);83
1786566;N;N;104
1786566;Argentina;N;99
1786566;Finland;(cut version) (1992) (1993);92
1786566;Germany;(FSK 16 version);80
1786566;Germany;N;94
1786566;South Korea;(heavily cut);85
1786566;Spain;(DVD edition);99
